,id,name,label,mentions
0,1,iran-iraq war,EVENT,5
1,2,the gulf war,EVENT,8
2,3,gulf war,EVENT,2
3,4,yom kippur war,EVENT,1
4,5,september m3,EVENT,2
5,6,expo 86,EVENT,1
6,7,world war,EVENT,1
7,8,the gulf war zone,EVENT,2
8,9,hugo,EVENT,1
9,10,french 1986/87,EVENT,1
10,11,"the ""britannia",EVENT,1
11,12,pre-chapter 11,EVENT,1
12,13,post-war,EVENT,1
13,14,"the ""uruguay round""",EVENT,2
14,15,491p,FAC,1
15,16,460,FAC,2
16,17,new orleans,FAC,2
17,18,210,FAC,2
18,19,451 460,FAC,1
19,20,460 460,FAC,1
20,21,villa constitucion,FAC,1
21,22,316p,FAC,1
22,23,stearns airport equiment co inc,FAC,1
23,24,the red river crossing,FAC,1
24,25,cif,FAC,1
25,26,edouard herriot riverside port,FAC,1
26,27,le raffineries de soufre,FAC,1
27,28,cajamarquilla peru's,FAC,1
28,29,cadwalader wickersham,FAC,1
29,30,the caracas free foreign exchange,FAC,1
30,31,the gidgealpa south field,FAC,1
31,32,rko,FAC,1
32,33,mir-hossein mousavi,FAC,2
33,34,the colombo rubber auction,FAC,1
34,35,veslefrikk,FAC,1
35,36,g7,FAC,1
36,37,the orange county airport,FAC,1
37,38,the welland canal,FAC,2
38,39,the kansai international airport,FAC,1
39,40,chase manhattan,FAC,1
40,41,the panama canal commission,FAC,3
41,42,marina hotel,FAC,1
42,43,cif rotterdam,FAC,2
43,44,rotterdam port's,FAC,4
44,45,313p,FAC,1
45,46,the u.s agriculture and commerce departments,FAC,1
46,47,york plaza,FAC,2
47,48,kansai airport,FAC,1
48,49,seaforth oilseed,FAC,2
49,50,ataturk international airport,FAC,1
50,51,punta del este,FAC,4
51,52,south bay s/,FAC,1
52,53,the terra nova,FAC,1
53,54,hibernia field,FAC,1
54,55,the oak hill,FAC,1
55,56,the philadelphia convention center site,FAC,1
56,57,the philadelphia international airport,FAC,1
57,58,poland 460,FAC,1
58,59,miraflores palace,FAC,1
59,60,santos harbour,FAC,1
60,61,242p,FAC,1
61,62,the welland canal linking lakes erie,FAC,1
62,63,the princeville airport,FAC,1
63,64,san paolo di torino,FAC,1
64,65,lake erie railway co div,FAC,1
65,66,mongkok business district,FAC,1
66,67,the kansai airport,FAC,1
67,68,rockville center,FAC,1
68,69,288,FAC,1
69,70,bay street,FAC,1
70,71,oak brook hills,FAC,1
71,72,punta morales,FAC,1
72,73,the oak brook,FAC,1
73,74,the elk hills naval petroleum reserve,FAC,1
74,75,montgomery street,FAC,1
75,76,413p,FAC,1
76,77,dlr kansai airport,FAC,2
77,78,750p,FAC,1
78,79,the salina cruz refinery,FAC,1
79,80,lazaro cardenas,FAC,1
80,81,schipol airport,FAC,1
81,82,amsterdam airport,FAC,1
82,83,hk hotel,FAC,1
83,84,u.s.,GPE,4837
84,85,japan,GPE,1560
85,86,tokyo,GPE,258
86,87,taiwan,GPE,323
87,88,south korea's,GPE,38
88,89,south korea,GPE,134
89,90,malaysia,GPE,125
90,91,hong kong,GPE,121
91,92,hong kong's,GPE,14
92,93,canberra,GPE,2
93,94,australia,GPE,146
94,95,washington,GPE,337
95,96,china,GPE,382
96,97,thailand,GPE,90
97,98,indonesia,GPE,213
98,99,rotterdam,GPE,25
99,100,new south wales,GPE,7
100,101,sydney,GPE,16
101,102,newcastle,GPE,6
102,103,mexico,GPE,74
103,104,sri lanka,GPE,37
104,105,colombo,GPE,1
105,106,mt,GPE,28
106,107,osaka,GPE,6
107,108,philippines,GPE,89
108,109,cebu,GPE,1
109,110,masbate,GPE,2
110,111,canada,GPE,462
111,112,brazil,GPE,520
112,113,u.k,GPE,111
113,114,seoul,GPE,24
114,115,the united states,GPE,593
115,116,finland,GPE,25
116,117,edmonton,GPE,10
117,118,vancouver,GPE,21
118,119,b.c.,GPE,13
119,120,saudi arabia,GPE,167
120,121,alberta,GPE,26
121,122,u.k.,GPE,448
122,123,norway,GPE,80
123,124,britain,GPE,239
124,125,spain,GPE,125
125,126,portugal,GPE,51
126,127,singapore,GPE,101
127,128,london,GPE,344
128,129,north yemen,GPE,11
129,130,yemen,GPE,4
130,131,san miguel,GPE,13
131,132,new york investment bank,GPE,2
132,133,melbourne,GPE,6
133,134,kuwait,GPE,124
134,135,new zealand,GPE,82
135,136,keswick,GPE,4
136,137,new york,GPE,324
137,138,manila,GPE,17
138,139,de los angeles,GPE,1
139,140,los angeles,GPE,42
140,141,los angeles',GPE,1
141,142,united states,GPE,16
142,143,u.s..,GPE,5
143,144,queensland,GPE,10
144,145,brisbane,GPE,5
145,146,north queensland,GPE,2
146,147,the bundaberg region,GPE,1
147,148,southern queensland,GPE,1
148,149,italy,GPE,152
149,150,florence,GPE,3
150,151,west germany,GPE,312
151,152,california,GPE,112
152,153,hawaii,GPE,8
153,154,paris,GPE,401
154,155,france,GPE,234
155,156,belgium,GPE,62
156,157,denmark,GPE,35
157,158,leduc,GPE,1
158,159,netherlands,GPE,48
159,160,west-germany,GPE,1
160,161,salem,GPE,3
161,162,dlr,GPE,92
162,163,paramus,GPE,1
163,164,n.j.,GPE,27
164,165,wayne,GPE,1
165,166,hackensack,GPE,1
166,167,n.j,GPE,10
167,168,fla.,GPE,27
168,169,myrtle beach,GPE,1
169,170,s.c.,GPE,7
170,171,houston,GPE,73
171,172,louisville,GPE,4
172,173,kent,GPE,1
173,174,nashville,GPE,5
174,175,tenn,GPE,5
175,176,l.p,GPE,1
176,177,zambia,GPE,48
177,178,ny harbor,GPE,1
178,179,buenos aires province,GPE,4
179,180,cordoba,GPE,18
180,181,santa fe,GPE,12
181,182,entre rios,GPE,4
182,183,corrientes,GPE,2
183,184,chaco,GPE,1
184,185,formosa,GPE,2
185,186,la pampa,GPE,7
186,187,buenos aires,GPE,15
187,188,kentucky,GPE,14
188,189,chicago,GPE,69
189,190,ivory coast,GPE,3
190,191,ghana,GPE,32
191,192,honduras,GPE,23
192,193,brasilia,GPE,8
193,194,sao paulo,GPE,19
194,195,parana,GPE,7
195,196,u.s where,GPE,1
196,197,florida,GPE,62
197,198,tunisia,GPE,20
198,199,montreal,GPE,14
199,200,c.h.,GPE,1
200,201,burlington,GPE,10
201,202,west point-pepperell inc,GPE,1
202,203,north carolina,GPE,7
203,204,south carolina,GPE,4
204,205,darlington county,GPE,1
205,206,fayetteville,GPE,1
206,207,n.c.,GPE,8
207,208,u.s. medical,GPE,1
208,209,luxembourg,GPE,30
209,210,rwanda,GPE,2
210,211,moscow,GPE,99
211,212,colombia,GPE,137
212,213,turkey,GPE,84
213,214,greece,GPE,40
214,215,athens,GPE,9
215,216,comstock,GPE,1
216,217,pakistan,GPE,79
217,218,atlantic city,GPE,11
218,219,ecuador,GPE,205
219,220,iraq,GPE,128
220,221,basra,GPE,3
221,222,iran,GPE,262
